seqnames	start	end	width	strand	value	area	cluster	indexStart	indexEnd	L	clusterL	p.value	fwer	p.valueArea	fwerArea	name	annotation	description	region	distance	subregion	insideDistance	exonnumber	nexons	UTR	strand.1	geneL	codingL	Geneid	subjectHits
chr6	166077243	166078145	903	*	0.345575703123233	1.38230281249293	358444	322691	322694	4	7	2.01342732310363e-05	0.03	0.000521253962536829	0.41	PDE10A	NM_001130690 NM_006661 NP_001124162 NP_006652 NR_045597 XM_006715321 XM_011535387 XM_011535388 XM_011535393 XM_017010194 XM_017010195 XM_017010196 XM_017010197 XM_024446311 XM_024446312 XP_006715384 XP_011533689 XP_011533690 XP_011533695 XP_016865683 XP_016865684 XP_016865685 XP_016865686 XP_024302079 XP_024302080 XR_001743121	promoter	promoter	1655	NA	NA	NA	22	NA	-	334812	NA	10846	6129
chr8	145700239	145700499	261	*	0.344427847111216	1.37771138844486	403269	410107	410110	4	15	2.01342732310363e-05	0.03	0.00053467681135752	0.41	FOXH1	NM_003923 NP_003914	covers exon(s)	inside	1219	covers exon(s)	0	3	3	inside transcription region	-	2603	NA	8928	68350
chr15	91427605	91427884	280	*	0.34397088876759	1.37588355507036	143843	644370	644373	4	16	2.01342732310363e-05	0.03	0.000541388235767865	0.42	FES	NM_001143783 NM_001143784 NM_001143785 NM_002005 NP_001137255 NP_001137256 NP_001137257 NP_001996 XM_005254880 XM_005254882 XM_017022005 XM_017022006 XM_017022007 XM_017022008 XM_017022009 XM_017022010 XP_005254937 XP_005254939 XP_016877494 XP_016877495 XP_016877496 XP_016877497 XP_016877498 XP_016877499 XR_001751142 XR_001751143 XR_001751144 XR_243206	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	19	5' UTR	+	11341	NA	2242	18426
chr2	27529325	27529981	657	*	0.342124199697967	1.36849679879187	211026	90102	90105	4	21	2.01342732310363e-05	0.03	0.000559285367528786	0.44	UCN	NM_003353 NP_003344	close to 3'	close to 3'	1149	NA	NA	NA	2	NA	-	865	NA	7349	58122
chr17	74497109	74497418	310	*	0.369558366200835	1.1086750986025	178888	721557	721559	3	11	1.5659990290806e-05	0.03	0.00127517063796563	0.66	RHBDF2	NM_001005498 NM_024599 NP_001005498 NP_078875 XM_005257669 XM_005257670 XM_011525249 XM_011525250 XM_011525251 XM_017025079 XP_005257726 XP_005257727 XP_011523551 XP_011523552 XP_011523553 XP_016880568 XR_001752625	inside intron	inside	91	inside intron	16	1	19	5' UTR	-	30534	NA	79651	60828
chr7	75911119	75911126	8	*	0.43054179896926	0.86108359793852	371218	348978	348979	2	2	6.71142441034544e-06	0.03	0.00317226660462328	0.82	SRRM3	NM_001039212 NM_001110199 NM_001291831 NP_001103669 NP_001278760	promoter	promoter	806	NA	NA	NA	4	NA	+	4673	NA	222183	18270
chr19	12946297	12947535	1239	*	0.262646240215667	2.363816161941	195278	755683	755691	9	14	2.01342732310363e-05	0.04	4.02685464620726e-05	0.08	RTBDN	NM_001080997 NM_001270440 NM_001270441 NM_001270442 NM_001270443 NM_001270444 NM_001270445 NM_031429 NP_001074466 NP_001257369 NP_001257370 NP_001257371 NP_001257372 NP_001257373 NP_001257374 NP_113617 XM_005260089 XM_005260090 XM_011528343 XM_011528344 XM_011528345 XM_017027343 XM_017027344 XM_024451733 XP_005260146 XP_005260147 XP_011526645 XP_011526646 XP_011526647 XP_016882832 XP_016882833 XP_024307501	promoter	promoter	55	NA	NA	NA	7	NA	-	9951	NA	83546	64115
chr2	217559131	217560292	1162	*	0.262367841091715	2.36131056982544	234940	133081	133089	9	17	2.01342732310363e-05	0.04	4.02685464620726e-05	0.08	IGFBP5	NM_000599 NP_000590	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	4	overlaps 5' UTR	-	23444	NA	3488	31096
chr22	38598875	38598987	113	*	0.319106354093102	1.91463812455861	262877	824999	825004	6	9	1.34228488206909e-05	0.04	0.000116331356445988	0.13	MAFF	NM_001161572 NM_001161573 NM_001161574 NM_012323 NM_152878 NP_001155044 NP_001155045 NP_001155046 NP_036455	promoter	promoter	40	NA	NA	NA	3	NA	+	13490	NA	23764	21679
chr6	166721759	166722248	490	*	0.318669210267227	1.91201526160336	358591	323027	323032	6	8	1.34228488206909e-05	0.04	0.000116331356445988	0.13	PRR18	NM_175922 NP_787118	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	1	5' UTR	-	2703	NA	285800	27071
chr18	55103353	55104078	726	*	0.33417882789992	1.6708941394996	187319	738862	738866	5	11	1.11857073505757e-05	0.04	0.000210291298190824	0.22	ONECUT2	NM_004852 NP_004843	inside exon	inside	436	inside exon	0	1	2	inside transcription region	+	55613	NA	9480	71403
chr5	80529121	80529340	220	*	0.333676505419375	1.66838252709688	322079	246453	246457	5	11	1.11857073505757e-05	0.04	0.000212528439660939	0.22	CKMT2	NM_001099735 NM_001099736 NM_001825 NP_001093205 NP_001093206 NP_001816 XM_024454356 XP_024310124	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	10	5' UTR	+	33078	NA	1160	8505
chr16	11348678	11349308	631	*	0.333572096613862	1.66786048306931	148962	656834	656838	5	28	1.11857073505757e-05	0.04	0.000214765581131054	0.22	SOCS1	NM_003745 NP_003736	inside exon	inside	731	inside exon	0	2	2	overlaps 3'UTR	-	1765	NA	8651	67408
chr2	241760164	241760829	666	*	0.330715086342903	1.65357543171452	240071	143149	143153	5	7	1.11857073505757e-05	0.04	0.000221477005541399	0.23	KIF1A	NM_001244008 NM_001320705 NM_001330289 NM_001330290 NM_004321 NP_001230937 NP_001307634 NP_001317218 NP_001317219 NP_004312	promoter	promoter	439	NA	NA	NA	43	NA	-	96895	NA	547	42644
chr20	55964273	55965077	805	*	0.329416238099701	1.64708119049851	250091	799720	799724	5	7	1.11857073505757e-05	0.04	0.000223714147011515	0.24	RBM38	NM_001291780 NM_017495 NM_183425 NP_001278709 NP_059965 NP_906270 XM_005260446 XM_011528885 XP_005260503 XP_011527187	promoter	promoter	1377	NA	NA	NA	3	NA	+	17932	NA	55544	45088
chr15	62457209	62457647	439	*	0.325220947087783	1.62610473543891	137476	632031	632035	5	8	1.11857073505757e-05	0.04	0.000241611278772436	0.25	C2CD4B	NM_001007595 NP_001007596 XM_017022170 XP_016877659	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	2	2	5' UTR	-	1745	NA	388125	32814
chr7	28725406	28725676	271	*	0.325032652645523	1.62516326322761	365001	337794	337798	5	7	1.11857073505757e-05	0.04	0.000241611278772436	0.25	CREB5	NM_001011666 NM_004904 NM_182898 NM_182899 NP_001011666 NP_004895 NP_878901 NP_878902 XM_005249906 XM_011515618 XM_017012806 XM_017012807 XM_017012808 XM_017012809 XM_017012810 XM_024447005 XP_005249963 XP_011513920 XP_016868295 XP_016868296 XP_016868297 XP_016868298 XP_016868299 XP_024302773 XR_001744893	promoter	promoter	45	NA	NA	NA	7	NA	+	139790	NA	9586	71782
chr19	47776385	47777218	834	*	0.324846301173494	1.62423150586747	202652	772710	772714	5	17	1.11857073505757e-05	0.04	0.000241611278772436	0.25	INAFM1	NM_178511 NP_848606 NR_037675	promoter	promoter	441	NA	NA	NA	2	NA	+	1321	NA	255783	22458
chr1	45792660	45793032	373	*	0.324236566848923	1.62118283424462	13202	28447	28451	5	12	1.11857073505757e-05	0.04	0.000246085561712666	0.25	HPDL	NM_032756 NP_116145	inside exon	inside	115	inside exon	0	1	1	overlaps 5' UTR	+	1801	NA	84842	66167
chr17	27944585	27945255	671	*	0.338633456136695	1.35453382454678	168598	699862	699865	4	8	2.23714147011515e-05	0.04	0.000581656782229938	0.45	CORO6	NM_001351301 NM_001351302 NM_032854 NP_001338230 NP_001338231 NP_116243 XM_005258047 XM_005258048 XM_005258056 XM_011525385 XM_011525386 XM_011525387 XM_011525388 XM_011525389 XM_011525390 XM_011525391 XM_017025235 XM_024451009 XM_024451010 XP_005258104 XP_005258105 XP_005258113 XP_011523687 XP_011523688 XP_011523689 XP_011523690 XP_011523691 XP_011523692 XP_011523693 XP_016880724 XP_024306777 XP_024306778 XR_001752668 XR_934578 XR_934579	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	7	5' UTR	-	3354	NA	84940	66429
chr16	67427339	67427412	74	*	0.367294475807044	1.10188342742113	156357	672055	672057	3	18	1.78971317609212e-05	0.04	0.00129083062825644	0.67	TPPP3	NM_015964 NM_016140 NP_057048 NP_057224 XM_024450294 XP_024306062	inside exon	inside	9	inside exon	0	1	4	5' UTR	-	3709	NA	51673	40670
chr6	49517997	49518103	107	*	0.365574879900163	1.09672463970049	346252	301191	301193	3	11	2.23714147011515e-05	0.04	0.00131767632589782	0.69	C6orf141	NM_001145652 NM_153344 NP_001139124 NR_146853 NR_146854 NR_146855 NR_146856 NR_146857 NR_146858 NR_146859 NR_146860 NR_146861 NR_146862 NR_146863 NR_146864 XM_005248850 XM_005248852 XM_005248853 XM_006714997 XM_017010296 XM_017010298 XP_005248907 XP_005248909 XP_005248910 XP_006715060 XP_016865785 XP_016865787	promoter	promoter	10	NA	NA	NA	1	NA	+	1695	NA	135398	10939
chr16	3013025	3013406	382	*	0.363597921145994	1.09079376343798	147297	653171	653173	3	16	2.46085561712666e-05	0.04	0.00133557345765874	0.69	KREMEN2	NM_001253725 NM_001253726 NM_024507 NM_145347 NM_145348 NM_172229 NP_001240654 NP_001240655 NP_078783 NP_757384	promoter	promoter	811	NA	NA	NA	9	NA	+	4167	NA	79412	60554
chr17	7343939	7344021	83	*	0.428486608573534	0.856973217147067	164730	691634	691635	2	23	8.94856588046058e-06	0.04	0.00321477229255546	0.83	FGF11	NM_001303460 NM_004112 NP_001290389 NP_004103 NR_130156	promoter	promoter	40	NA	NA	NA	5	NA	+	4190	NA	2256	18473
chr2	220299740	220299900	161	*	0.428243421576354	0.856486843152708	235715	134794	134795	2	16	8.94856588046058e-06	0.04	0.00321700943402558	0.83	SPEG	NM_001173476 NM_005876 NP_001166947 NP_005867 XM_005246237 XM_005246239 XM_005246240 XM_005246241 XM_005246242 XM_006712189 XM_006712193 XM_011510479 XM_011510483 XM_017003157 XM_017003158 XM_017003159 XM_017003160 XM_017003161 XM_017003162 XM_024452526 XP_005246294 XP_005246296 XP_005246297 XP_005246298 XP_005246299 XP_006712252 XP_006712256 XP_011508781 XP_011508785 XP_016858646 XP_016858647 XP_016858648 XP_016858649 XP_016858650 XP_016858651 XP_024308294 XR_001738587	inside exon	inside	40	inside exon	0	1	41	inside transcription region	+	58654	NA	10290	4308
chr4	16900199	16900211	13	*	0.419442486910339	0.838884973820679	296952	201321	201322	2	6	1.11857073505757e-05	0.04	0.00340716645898537	0.83	LDB2	NM_001130834 NM_001290 NM_001304434 NM_001304435 NP_001124306 NP_001281 NP_001291363 NP_001291364 NR_130734 XM_005248197 XM_005248201 XM_005248202 XM_006713975 XM_006713976 XM_006713977 XM_006713978 XM_006713979 XM_006713980 XM_006713981 XM_006713982 XM_006713983 XM_011513905 XM_017008812 XM_017008813 XM_017008814 XM_017008815 XM_017008816 XM_017008817 XM_017008818 XM_017008819 XM_017008820 XM_017008821 XM_017008822 XM_024454278 XM_024454279 XM_024454280 XP_005248254 XP_005248258 XP_005248259 XP_006714038 XP_006714039 XP_006714040 XP_006714041 XP_006714042 XP_006714043 XP_006714044 XP_006714045 XP_006714046 XP_011512207 XP_016864301 XP_016864302 XP_016864303 XP_016864304 XP_016864305 XP_016864306 XP_016864307 XP_016864308 XP_016864309 XP_016864310 XP_016864311 XP_024310046 XP_024310047 XP_024310048	inside exon	inside	213	inside exon	0	1	8	5' UTR	-	397255	NA	9079	69192
chr19	2977603	2977617	15	*	0.414121657440961	0.828243314881922	191933	747583	747584	2	13	1.34228488206909e-05	0.04	0.00355258065454285	0.83	TLE6	NM_001143986 NM_024760 NP_001137458 NP_079036 NR_138612 XM_005259645 XM_011528300 XM_011528301 XM_024451722 XM_024451723 XM_024451724 XP_005259702 XP_011526602 XP_011526603 XP_024307490 XP_024307491 XP_024307492	inside exon	inside	67	inside exon	0	1	16	5' UTR	+	17646	NA	79816	61327
chr15	41787780	41787940	161	*	0.409261142693895	0.81852228538779	134302	625921	625922	2	4	1.34228488206909e-05	0.04	0.00368457200127964	0.84	ITPKA	NM_002220 NP_002211 XM_011521522 XP_011519824	inside intron	inside	1724	inside intron	-1165	1	7	inside transcription region	+	9701	NA	3706	31805
chr2	25473895	25474327	433	*	0.407720335860939	0.815440671721879	210438	88871	88872	2	12	1.34228488206909e-05	0.04	0.00374050053803252	0.84	DNMT3A	NM_001320892 NM_001320893 NM_022552 NM_153759 NM_175629 NM_175630 NP_001307821 NP_001307822 NP_072046 NP_715640 NP_783328 NP_783329 NR_135490 XM_005264175 XM_005264177 XM_011532662 XM_011532663 XM_011532664 XM_011532666 XM_011532667 XM_017003526 XM_017003527 XP_005264232 XP_005264234 XP_011530964 XP_011530965 XP_011530966 XP_011530968 XP_011530969 XP_016859015 XP_016859016 XR_001738657	inside intron	inside	857	inside intron	735	1	19	inside transcription region	-	19354	NA	1788	15616
chr2	102804405	102804576	172	*	0.406906230834886	0.813812461669771	221386	109112	109113	2	2	1.34228488206909e-05	0.04	0.0037516862453831	0.84	IL1RL2	NM_001351446 NM_001351447 NM_001351448 NM_001351449 NM_001351450 NM_003854 NP_001338375 NP_001338376 NP_001338377 NP_001338378 NP_001338379 NP_003845 XM_006712820 XM_006712822 XM_011512091 XM_011512092 XM_011512093 XM_011512094 XM_011512096 XM_017005174 XM_017005175 XM_017005176 XM_017005177 XM_017005180 XP_006712883 XP_006712885 XP_011510393 XP_011510394 XP_011510395 XP_011510396 XP_011510398 XP_016860663 XP_016860664 XP_016860665 XP_016860666 XP_016860669 XR_923053	inside intron	inside	939	inside intron	-19	2	10	inside transcription region	+	52345	NA	8808	67862
chr1	35258594	35258617	24	*	0.401175558470592	0.802351116941185	10489	22773	22774	2	5	1.5659990290806e-05	0.04	0.00391276043123139	0.86	GJA4	NM_002060 NP_002051 XM_005270750 XM_017001043 XP_005270807 XP_016856532	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	2	5' UTR	+	2749	NA	2701	24873
chr12	52300911	52300922	12	*	0.395962219002202	0.791924438004404	92322	541653	541654	2	10	1.78971317609212e-05	0.04	0.00408502032443026	0.87	ACVRL1	NM_000020 NM_001077401 NP_000011 NP_001070869 XM_005269235 XM_011539008 XM_024449279 XP_005269292 XP_011537310 XP_024305047	inside intron	inside	219	inside intron	-133	1	4	5' UTR	+	6442	NA	94	71033
chr7	22894281	22894557	277	*	0.393130855166293	0.786261710332585	363973	335499	335500	2	10	1.78971317609212e-05	0.04	0.00417226884176475	0.87	SNORD93	NR_003075	promoter	promoter	1675	NA	NA	NA	1	NA	+	73	NA	692210	56039
chr13	37004787	37005074	288	*	0.267525897129646	2.14020717703717	108712	575293	575300	8	36	3.57942635218423e-05	0.05	7.60628099839149e-05	0.1	CCNA1	NM_001111045 NM_001111046 NM_001111047 NM_003914 NP_001104515 NP_001104516 NP_001104517 NP_003905 XM_011535294 XM_011535295 XM_011535296 XP_011533596 XP_011533597 XP_011533598	promoter	promoter	583	NA	NA	NA	9	NA	+	11362	NA	8900	68233
chr3	126113640	126113918	279	*	0.267042421294797	2.13633937035837	282623	173520	173527	8	17	3.80314049919575e-05	0.05	7.82999514540301e-05	0.1	CFAP100	NM_182628 NP_872434 XM_006713623 XM_017006321 XM_017006322 XM_017006323 XM_017006325 XM_017006326 XM_017006327 XP_006713686 XP_016861810 XP_016861811 XP_016861812 XP_016861814 XP_016861815 XP_016861816 XR_001740141	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	17	5' UTR	+	41616	NA	348807	31098
chr12	106533375	106533903	529	*	0.281843817246737	1.97290672072716	99491	555915	555921	7	20	2.90828391114969e-05	0.05	0.000105145649095412	0.13	NUAK1	NM_014840 NP_055655	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	7	5' UTR	-	76686	NA	9891	73035
chr16	67184900	67185194	295	*	0.281794305280392	1.97256013696275	156252	671695	671701	7	15	2.90828391114969e-05	0.05	0.000105145649095412	0.13	B3GNT9	NM_033309 NP_171608	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	2	5' UTR	-	2897	NA	84752	66024
chr5	74907152	74908125	974	*	0.280808481902806	1.96565937331965	321210	244887	244893	7	10	3.35571220517272e-05	0.05	0.000109619932035642	0.13	ANKDD1B	NM_001271529 NM_001276713 NP_001263642 XM_011543618 XM_011543623 XM_017009814 XM_017009815 XM_017009816 XM_017009817 XP_011541920 XP_011541925 XP_016865303 XP_016865304 XP_016865305 XP_016865306	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	14	overlaps 5' UTR	+	60370	NA	728780	57689
chr8	21899862	21900418	557	*	0.278836880612835	1.95185816428985	386653	379820	379826	7	8	3.57942635218423e-05	0.05	0.000111857073505757	0.13	FGF17	NM_001304478 NM_003867 NP_001291407 NP_003858 XM_005273675 XM_011544683 XM_011544684 XM_011544685 XP_005273732 XP_011542985 XP_011542986 XP_011542987	promoter	promoter	10	NA	NA	NA	5	NA	+	5891	NA	8822	67893
chr16	67464886	67465561	676	*	0.27722181664741	1.94055271653187	156372	672118	672124	7	18	4.02685464620726e-05	0.05	0.000114094214975872	0.13	HSD11B2	NM_000196 NP_000187	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	5	overlaps 5' UTR	+	6418	NA	3291	29930
chr8	104153592	104153829	238	*	0.276796625500627	1.93757637850439	396676	398272	398278	7	16	4.02685464620726e-05	0.05	0.000114094214975872	0.13	BAALC-AS2	NM_198099 NR_027071	promoter	promoter	22	NA	NA	NA	2	NA	-	8379	NA	157556	13743
chr6	45387257	45387932	676	*	0.313657680085705	1.88194608051423	345759	300350	300355	6	7	1.5659990290806e-05	0.05	0.000120805639386218	0.14	RUNX2	NM_001015051 NM_001024630 NM_001278478 NM_001369405 NM_004348 NP_001015051 NP_001019801 NP_001265407 NP_001356334 NR_103532 NR_103533	promoter	promoter	1982	NA	NA	NA	7	NA	+	128905	NA	860	67190
chr20	35169539	35169886	348	*	0.313633554892024	1.88180132935214	245769	791951	791956	6	9	1.5659990290806e-05	0.05	0.000120805639386218	0.14	MYL9	NM_006097 NM_181526 NP_006088 NP_852667	promoter	promoter	1	NA	NA	NA	3	NA	+	8339	NA	10398	4668
chr10	103538476	103540102	1627	*	0.309732963643281	1.85839778185969	55976	465324	465329	6	6	1.5659990290806e-05	0.05	0.000125279922326448	0.14	FGF8	NM_001206389 NM_006119 NM_033163 NM_033164 NM_033165 NP_001193318 NP_006110 NP_149353 NP_149354 NP_149355	overlaps exon downstream	inside	24	overlaps exon downstream	0	1	5	5' UTR	-	10239	NA	2253	18467
chr3	122745092	122746013	922	*	0.307890087627662	1.84734052576597	281844	172164	172169	6	13	1.5659990290806e-05	0.05	0.000125279922326448	0.14	SEMA5B	NM_001031702 NM_001256346 NM_001256347 NM_001256348 NM_018987 NP_001026872 NP_001243275 NP_001243276 NP_001243277 NR_046079 XM_017006638 XM_017006639 XP_016862127 XP_016862128	inside intron	inside	646	inside intron	297	1	11	inside transcription region	-	105897	NA	54437	42115
chr2	71205520	71206291	772	*	0.305402998850988	1.83241799310593	217526	101551	101556	6	17	1.78971317609212e-05	0.05	0.000129754205266678	0.15	ANKRD53	NM_001115116 NM_001369683 NM_024933 NP_001108588 NP_001356612 NP_079209 XM_011533114 XP_011531416	overlaps 5'	overlaps 5'	0	covers exon(s)	0	2	6	overlaps 5' UTR	+	7054	NA	79998	61905
chr16	19896644	19897155	512	*	0.305250698029171	1.83150418817503	150457	659499	659504	6	17	1.78971317609212e-05	0.05	0.000129754205266678	0.15	GPRC5B	NM_001304771 NM_016235 NP_001291700 NP_057319 XM_006721051 XM_006721052 XP_006721114 XP_006721115	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	4	5' UTR	-	26539	NA	51704	40732
chr7	24324570	24325371	802	*	0.30524992556783	1.83149955340698	364202	335971	335976	6	19	1.78971317609212e-05	0.05	0.000129754205266678	0.15	NPY	NM_000905 NP_000896	covers exon(s)	inside	763	covers exon(s)	0	2	4	overlaps 5' UTR	+	7677	NA	4852	37729
chr5	176559334	176560594	1261	*	0.305136166940832	1.83081700164499	334730	269969	269974	6	8	1.78971317609212e-05	0.05	0.000129754205266678	0.15	NSD1	NM_001365684 NM_022455 NM_172349 NP_001352613 NP_071900 NP_758859 XM_024446150 XM_024446151 XM_024446152 XM_024446153 XM_024446154 XM_024446155 XM_024446156 XM_024446158 XM_024446159 XM_024446160 XM_024446161 XM_024446162 XM_024446163 XP_024301918 XP_024301919 XP_024301920 XP_024301921 XP_024301922 XP_024301923 XP_024301924 XP_024301926 XP_024301927 XP_024301928 XP_024301929 XP_024301930 XP_024301931	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	24	5' UTR	+	167134	NA	64324	52615
chr2	219645811	219646331	521	*	0.304490388515541	1.82694233109325	235491	134075	134080	6	11	1.78971317609212e-05	0.05	0.000134228488206909	0.15	CYP27A1	NM_000784 NP_000775 XM_017003488 XP_016858977	promoter	promoter	141	NA	NA	NA	9	NA	+	33544	NA	1593	14058
chr5	133451021	133451294	274	*	0.303246058593116	1.8194763515587	327335	255537	255542	6	18	2.01342732310363e-05	0.05	0.000140939912617254	0.16	TCF7	NM_001134851 NM_001134852 NM_001346425 NM_001346450 NM_001366502 NM_003202 NM_201632 NM_201634 NM_213648 NP_001128323 NP_001333354 NP_001333379 NP_001353431 NP_003193 NP_963963 NP_963965 NP_998813 NR_033449 XM_006714678 XM_006714679 XM_006714682 XM_006714684 XM_006714685 XM_006714686 XM_011543604 XM_011543606 XM_011543607 XM_011543608 XM_011543609 XM_011543613 XM_017009790 XP_006714741 XP_006714742 XP_006714745 XP_006714747 XP_006714748 XP_006714749 XP_011541906 XP_011541908 XP_011541909 XP_011541910 XP_011541911 XP_011541915 XP_016865279 XR_001742231 XR_001742232 XR_948292 XR_948294	promoter	promoter	4	NA	NA	NA	8	NA	+	32622	NA	6932	56178
chr11	35639276	35639632	357	*	0.303039445460843	1.81823667276506	68165	492052	492057	6	10	2.01342732310363e-05	0.05	0.000140939912617254	0.16	FJX1	NM_014344 NP_055159	promoter	promoter	103	NA	NA	NA	1	NA	+	2686	NA	24147	21785
chr12	104443742	104444017	276	*	0.302670007146156	1.81602004287693	99072	555210	555215	6	11	2.01342732310363e-05	0.05	0.000143177054087369	0.16	GLT8D2	NM_001316967 NM_031302 NP_001303896 NP_112592 XM_011538793 XM_017019999 XP_011537095 XP_016875488	inside exon	inside	49	inside exon	0	1	11	5' UTR	-	61301	NA	83468	64058
chr2	133428523	133429299	777	*	0.302099484651978	1.81259690791187	225531	116718	116723	6	21	2.01342732310363e-05	0.05	0.000143177054087369	0.16	LYPD1	NM_001077427 NM_001321234 NM_001321235 NM_144586 NP_001070895 NP_001308163 NP_001308164 NP_653187 XM_011510546 XP_011508848	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	3	5' UTR	-	26733	NA	116372	8601
chr19	48824622	48825620	999	*	0.30194747161369	1.81168482968214	202992	773427	773432	6	15	2.01342732310363e-05	0.05	0.000143177054087369	0.16	CCDC114	NM_001135193 NM_001135194 NM_001364171 NM_144577 NP_001351100 NP_653178	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	10	5' UTR	-	18284	NA	93233	70645
chr12	54427293	54427884	592	*	0.300782056599138	1.80469233959483	93053	543656	543661	6	19	2.01342732310363e-05	0.05	0.0001476513370276	0.16	MIR615	NR_030753	covers	covers	0	covers exon(s)	NA	NA	1	NA	+	95	NA	693200	56184
chr5	161273839	161274307	469	*	0.299042903007126	1.79425741804276	332376	265662	265667	6	33	2.23714147011515e-05	0.05	0.000154362761437945	0.16	GABRA1	NM_000806 NM_001127643 NM_001127644 NM_001127645 NM_001127646 NM_001127647 NM_001127648 NP_000797 NP_001121115 NP_001121116 NP_001121117 NP_001121120	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	11	5' UTR	+	52768	NA	2554	22410
chr22	50968250	50968513	264	*	0.3227622070133	1.6138110350665	266726	832506	832510	5	7	2.01342732310363e-05	0.05	0.000252796986123011	0.25	TYMP	NM_001113755 NM_001113756 NM_001257988 NM_001257989 NM_001953 NP_001107227 NP_001107228 NP_001244917 NP_001244918 NP_001944	overlaps exon downstream	inside	1	overlaps exon downstream	0	1	5	5' UTR	-	2888	NA	1890	15915
chr5	138728685	138729283	599	*	0.321873102213712	1.60936551106856	328411	257708	257712	5	17	2.01342732310363e-05	0.05	0.000257271269063242	0.26	PROB1	NM_001161546 NP_001155018	inside exon	inside	1602	inside exon	0	1	1	inside transcription region	-	3250	NA	389333	33076
chr6	32076270	32076417	148	*	0.362074813146714	1.08622443944014	342363	290889	290891	3	15	2.68456976413817e-05	0.05	0.00135123344794955	0.7	TNXB	NM_001365276 NM_019105 NM_032470 NP_001352205 NP_061978 NP_115859	inside intron	inside	734	inside intron	540	1	44	5' UTR	-	68219	NA	7148	56894
chr4	3464870	3464887	18	*	0.361062535107203	1.08318760532161	294459	196435	196437	3	10	2.68456976413817e-05	0.05	0.00136465629677024	0.7	DOK7	NM_001164673 NM_001256896 NM_001301071 NM_001363811 NM_173660 NP_001158145 NP_001243825 NP_001288000 NP_001350740 NP_775931 XM_011513435 XM_011513437 XP_011511737 XP_011511739	promoter	promoter	146	NA	NA	NA	7	NA	+	31176	NA	285489	26953
chr19	55953893	55953996	104	*	0.359650788247782	1.07895236474335	205333	779581	779583	3	10	2.68456976413817e-05	0.05	0.00138255342853116	0.71	SHISA7	NM_001145176 NM_175908 NP_001138648	inside exon	inside	234	inside exon	0	1	4	inside transcription region	-	14125	NA	729956	57947
chr19	47137863	47137948	86	*	0.359194269120495	1.07758280736149	202420	772225	772227	3	8	2.68456976413817e-05	0.05	0.00138702771147139	0.71	GNG8	NM_033258 NP_150283 XM_011527524 XM_017027503 XM_017027504 XM_017027505 XP_011525826 XP_016882992 XP_016882993 XP_016882994	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	2	overlaps 5' UTR	-	606	NA	94235	71210
chr1	247275735	247275808	74	*	0.358521333775555	1.07556400132666	40072	80042	80044	3	14	2.68456976413817e-05	0.05	0.00138926485294151	0.71	C1orf229	NM_207401 NP_997284	promoter	promoter	16	NA	NA	NA	1	NA	-	2257	NA	388759	32978
chr14	21493816	21493964	149	*	0.358302906084578	1.07490871825373	117242	591448	591450	3	45	2.68456976413817e-05	0.05	0.00138926485294151	0.71	NDRG2	NM_001282211 NM_001282212 NM_001282213 NM_001282214 NM_001282215 NM_001282216 NM_001320329 NM_001354558 NM_001354559 NM_001354560 NM_001354561 NM_001354562 NM_001354564 NM_001354565 NM_001354566 NM_001354567 NM_001354568 NM_001354569 NM_001354570 NM_016250 NM_201535 NM_201536 NM_201537 NM_201538 NM_201539 NM_201540 NM_201541 NP_001269140 NP_001269141 NP_001269142 NP_001269143 NP_001269144 NP_001269145 NP_001307258 NP_001341487 NP_001341488 NP_001341489 NP_001341490 NP_001341491 NP_001341493 NP_001341494 NP_001341495 NP_001341496 NP_001341497 NP_001341498 NP_001341499 NP_057334 NP_963293 NP_963294 NP_963831 NP_963832 NP_963833 NP_963834 NP_963835	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	16	5' UTR	-	9013	NA	57447	48479
chr19	42828156	42828621	466	*	0.392073297703604	0.784146595407208	201228	769302	769303	2	17	2.23714147011515e-05	0.05	0.00422819737851763	0.88	MEGF8	NM_001271938 NM_001410 NM_178121 NP_001258867 NP_001401	promoter	promoter	1140	NA	NA	NA	42	NA	+	53160	NA	1954	16062
